Order ID,price,Products,Total Revenue,Quantity Ordered,Purchase Address,Date,new date
176580,4000,Trimmer Shever,4000,1,"886 Willow St, Los Angeles, CA 90001",05-Jul-19,05/07/2018
176581,150000,Laptops,150000,1,"84 Jackson St, Boston, MA 02215",06-Jul-19,06/07/2018
176582,8000,Bluethoth Speakers,8000,1,"178 Lincoln St, Atlanta, GA 30301",07-Jul-19,07/07/2018
176583,12000,Smart Watches,24000,2,"146 Jackson St, Portland, OR 97035",08-Jul-19,08/07/2018
176584,8000,Bluethoth Speakers,8000,1,"936 Church St, San Francisco, CA 94016",09-Jul-19,09/07/2018
176585,8000,Bluethoth Speakers,8000,1,"823 Highland St, Boston, MA 02215",10-Jul-19,10/07/2018
176586,12000,Smart Watches,24000,2,"365 Center St, San Francisco, CA 94016",11-Jul-19,11/07/2018
176586,60000,Tablets,60000,1,"365 Center St, San Francisco, CA 94016",12-Jul-19,12/07/2018
176587,5000,Power bank,5000,1,"557 5th St, Los Angeles, CA 90001",13-Jul-19,13/07/2018
176588,75000,Mobiles,75000,1,"765 Cherry St, Seattle, WA 98101",14-Jul-19,14/07/2018
176589,60000,Tablets,60000,1,"846 Highland St, Atlanta, GA 30301",15-Jul-19,15/07/2018
176590,60000,Tablets,60000,1,"873 6th St, New York City, NY 10001",16-Jul-19,16/07/2018
176591,6500,Wireless Earbuds,6500,1,"600 Maple St, Austin, TX 73301",17-Jul-19,17/07/2018
176592,4000,Trimmer Shever,4000,1,"352 4th St, Los Angeles, CA 90001",18-Jul-19,18/07/2018
176593,60000,Tablets,120000,2,"906 7th St, Portland, OR 97035",19-Jul-19,19/07/2018
176594,12000,Smart Watches,12000,1,"63 Maple St, San Francisco, CA 94016",20-Jul-19,20/07/2018
176595,12000,Smart Watches,36000,3,"383 6th St, Los Angeles, CA 90001",21-Jul-19,21/07/2018
176596,6500,Wireless Earbuds,6500,1,"572 Meadow St, Dallas, TX 75001",22-Jul-19,22/07/2018
176597,4000,Trimmer Shever,4000,1,"681 11th St, San Francisco, CA 94016",23-Jul-19,23/07/2018
176598,12000,Smart Watches,24000,2,"294 Park St, San Francisco, CA 94016",24-Jul-19,24/07/2018
176599,60000,Tablets,60000,1,"279 Maple St, New York City, NY 10001",25-Jul-19,25/07/2018
176600,6500,Wireless Earbuds,6500,1,"87 West St, Boston, MA 02215",26-Jul-19,26/07/2018
176601,4000,Trimmer Shever,4000,1,"754 10th St, Los Angeles, CA 90001",27-Jul-19,27/07/2018
176602,60000,Tablets,60000,1,"9 Jefferson St, Dallas, TX 75001",28-Jul-19,28/07/2018
176603,4000,Trimmer Shever,4000,1,"858 6th St, San Francisco, CA 94016",29-Jul-19,29/07/2018
176604,4000,Trimmer Shever,4000,1,"462 11th St, San Francisco, CA 94016",30-Jul-19,30/07/2018
176605,4000,Trimmer Shever,4000,1,"717 Pine St, San Francisco, CA 94016",31-Jul-19,31/07/2018
176606,60000,Tablets,60000,1,"487 Maple St, San Francisco, CA 94016",01-Aug-19,01/08/2018
176607,12000,Smart Watches,24000,2,"689 10th St, Boston, MA 02215",02-Aug-19,02/08/2018
176608,150000,Laptops,150000,1,"15 Cherry St, San Francisco, CA 94016",03-Aug-19,03/08/2018
176609,6500,Wireless Earbuds,6500,1,"267 11th St, Austin, TX 73301",04-Aug-19,04/08/2018
176610,12000,Smart Watches,12000,1,"382 River St, Dallas, TX 75001",05-Aug-19,05/08/2018
176611,8000,Bluethoth Speakers,8000,1,"971 Sunset St, San Francisco, CA 94016",06-Aug-19,06/08/2018
176612,6500,Wireless Earbuds,6500,1,"149 North St, Seattle, WA 98101",07-Aug-19,07/08/2018
176613,4000,Trimmer Shever,8000,2,"405 4th St, New York City, NY 10001",08-Aug-19,08/08/2018
176614,12000,Smart Watches,12000,1,"647 Jackson St, San Francisco, CA 94016",09-Aug-19,09/08/2018
176615,60000,Tablets,60000,1,"833 River St, Dallas, TX 75001",10-Aug-19,10/08/2018
176616,4000,Trimmer Shever,4000,1,"380 Washington St, San Francisco, CA 94016",11-Aug-19,11/08/2018
176617,6500,Wireless Earbuds,6500,1,"319 8th St, Portland, OR 97035",12-Aug-19,12/08/2018
176618,60000,Tablets,120000,2,"273 South St, San Francisco, CA 94016",13-Aug-19,13/08/2018
176619,8000,Bluethoth Speakers,8000,1,"116 North St, Los Angeles, CA 90001",14-Aug-19,14/08/2018
176620,4000,Trimmer Shever,4000,1,"994 Pine St, Los Angeles, CA 90001",15-Aug-19,15/08/2018
176621,60000,Tablets,60000,1,"863 8th St, Boston, MA 02215",16-Aug-19,16/08/2018
176622,12000,Smart Watches,12000,1,"983 11th St, San Francisco, CA 94016",17-Aug-19,17/08/2018
176623,5000,Power bank,5000,1,"807 12th St, Atlanta, GA 30301",18-Aug-19,18/08/2018
176624,12000,Smart Watches,12000,1,"664 Church St, Seattle, WA 98101",19-Aug-19,19/08/2018
176625,12000,Smart Watches,24000,2,"858 5th St, San Francisco, CA 94016",20-Aug-19,20/08/2018
176626,8000,Bluethoth Speakers,8000,1,"491 Chestnut St, Boston, MA 02215",21-Aug-19,21/08/2018
176627,12000,Smart Watches,12000,1,"994 13th St, Atlanta, GA 30301",22-Aug-19,22/08/2018
176628,60000,Tablets,120000,2,"628 Wilson St, Dallas, TX 75001",23-Aug-19,23/08/2018
176629,4000,Trimmer Shever,4000,1,"101 Lincoln St, San Francisco, CA 94016",24-Aug-19,24/08/2018
176630,60000,Tablets,60000,1,"770 Maple St, San Francisco, CA 94016",25-Aug-19,25/08/2018
176631,4000,Trimmer Shever,4000,1,"292 Dogwood St, San Francisco, CA 94016",26-Aug-19,26/08/2018
176632,12000,Smart Watches,12000,1,"814 Madison St, San Francisco, CA 94016",27-Aug-19,27/08/2018
176633,2500,Wall Charger,2500,1,"863 Hickory St, Los Angeles, CA 90001",28-Aug-19,28/08/2018
176634,60000,Tablets,60000,1,"311 Madison St, Atlanta, GA 30301",29-Aug-19,29/08/2018
176635,12000,Smart Watches,12000,1,"85 North St, San Francisco, CA 94016",30-Aug-19,30/08/2018
176636,12000,Smart Watches,12000,1,"140 10th St, Boston, MA 02215",31-Aug-19,31/08/2018
176637,12000,Smart Watches,12000,1,"261 Sunset St, New York City, NY 10001",01-Sept-19,01/09/2018
176638,4000,Trimmer Shever,4000,1,"869 Cherry St, Boston, MA 02215",02-Sept-19,02/09/2018
176639,150000,Laptops,150000,1,"853 Cedar St, San Francisco, CA 94016",03-Sept-19,03/09/2018
176640,12000,Smart Watches,24000,2,"164 Lake St, San Francisco, CA 94016",04-Sept-19,04/09/2018
176641,60000,Tablets,60000,1,"655 Sunset St, Boston, MA 02215",05-Sept-19,05/09/2018
176642,12000,Smart Watches,12000,1,"72 Elm St, Portland, OR 97035",06-Sept-19,06/09/2018
176643,150000,Laptops,150000,1,"373 Adams St, Boston, MA 02215",07-Sept-19,07/09/2018
176644,4000,Trimmer Shever,4000,1,"962 7th St, Los Angeles, CA 90001",08-Sept-19,08/09/2018
176645,12000,Smart Watches,36000,3,"514 Lake St, Dallas, TX 75001",09-Sept-19,09/09/2018
176646,150000,Laptops,150000,1,"657 Adams St, Portland, OR 97035",10-Sept-19,10/09/2018
176647,60000,Tablets,60000,1,"273 South St, Los Angeles, CA 90001",11-Sept-19,11/09/2018
176648,5000,Power bank,5000,1,"732 2nd St, Portland, OR 97035",12-Sept-19,12/09/2018
176649,4000,Trimmer Shever,4000,1,"702 11th St, San Francisco, CA 94016",13-Sept-19,13/09/2018
176650,60000,Tablets,60000,1,"153 River St, Boston, MA 02215",14-Sept-19,14/09/2018
176651,150000,Laptops,150000,1,"997 South St, Boston, MA 02215",15-Sept-19,15/09/2018
176652,60000,Tablets,60000,1,"502 14th St, New York City, NY 10001",16-Sept-19,16/09/2018
176653,12000,Smart Watches,12000,1,"285 Chestnut St, San Francisco, CA 94016",17-Sept-19,17/09/2018
176654,4000,Trimmer Shever,4000,1,"880 Lakeview St, Seattle, WA 98101",18-Sept-19,18/09/2018
176655,6500,Wireless Earbuds,6500,1,"848 Center St, San Francisco, CA 94016",19-Sept-19,19/09/2018
176656,60000,Tablets,60000,1,"12 Lakeview St, New York City, NY 10001",20-Sept-19,20/09/2018
176657,2500,Wall Charger,2500,1,"774 Forest St, Los Angeles, CA 90001",21-Sept-19,21/09/2018
176658,12000,Smart Watches,24000,2,"573 Pine St, San Francisco, CA 94016",22-Sept-19,22/09/2018
176659,75000,Mobiles,75000,1,"804 Church St, Dallas, TX 75001",23-Sept-19,23/09/2018
176660,12000,Smart Watches,12000,1,"267 West St, Boston, MA 02215",24-Sept-19,24/09/2018
176661,12000,Smart Watches,12000,1,"522 6th St, Atlanta, GA 30301",25-Sept-19,25/09/2018
176662,12000,Smart Watches,12000,1,"678 Hickory St, Portland, OR 97035",26-Sept-19,26/09/2018
176663,8000,Bluethoth Speakers,8000,1,"450 Johnson St, Seattle, WA 98101",27-Sept-19,27/09/2018
176664,12000,Smart Watches,12000,1,"544 Madison St, Los Angeles, CA 90001",28-Sept-19,28/09/2018
176665,2500,Wall Charger,2500,1,"927 13th St, Dallas, TX 75001",29-Sept-19,29/09/2018
176666,12000,Smart Watches,12000,1,"382 Forest St, Seattle, WA 98101",30-Sept-19,30/09/2018
176667,6500,Wireless Earbuds,6500,1,"92 11th St, Los Angeles, CA 90001",01-Oct-19,01/10/2018
176668,12000,Smart Watches,12000,1,"56 2nd St, Dallas, TX 75001",02-Oct-19,02/10/2018
176669,5000,Power bank,5000,1,"506 Jackson St, Dallas, TX 75001",03-Oct-19,03/10/2018
176670,6500,Wireless Earbuds,6500,1,"892 Willow St, San Francisco, CA 94016",04-Oct-19,04/10/2018
176671,12000,Smart Watches,24000,2,"738 Jefferson St, New York City, NY 10001",05-Oct-19,05/10/2018
176672,60000,Tablets,60000,1,"778 Maple St, New York City, NY 10001",06-Oct-19,06/10/2018
176672,4000,Trimmer Shever,4000,1,"778 Maple St, New York City, NY 10001",07-Oct-19,07/10/2018
176673,75000,Mobiles,75000,1,"952 1st St, Boston, MA 02215",08-Oct-19,08/10/2018
176674,12000,Smart Watches,36000,3,"907 West St, Austin, TX 73301",09-Oct-19,09/10/2018
176675,12000,Smart Watches,12000,1,"933 Meadow St, Seattle, WA 98101",10-Oct-19,10/10/2018
176676,60000,Tablets,60000,1,"788 Lincoln St, Los Angeles, CA 90001",11-Oct-19,11/10/2018
176677,12000,Smart Watches,12000,1,"661 Washington St, Austin, TX 73301",12-Oct-19,12/10/2018
176678,12000,Smart Watches,24000,2,"345 Sunset St, San Francisco, CA 94016",13-Oct-19,13/10/2018
176679,6500,Wireless Earbuds,6500,1,"245 West St, Boston, MA 02215",14-Oct-19,14/10/2018
176680,4000,Trimmer Shever,4000,1,"368 Main St, Los Angeles, CA 90001",15-Oct-19,15/10/2018
176681,6500,Wireless Earbuds,6500,1,"331 Cherry St, Seattle, WA 98101",16-Oct-19,16/10/2018
176681,2500,Wall Charger,2500,1,"331 Cherry St, Seattle, WA 98101",17-Oct-19,17/10/2018
176682,60000,Tablets,60000,1,"593 Adams St, Boston, MA 02215",18-Oct-19,18/10/2018
176683,12000,Smart Watches,12000,1,"253 Willow St, Los Angeles, CA 90001",19-Oct-19,19/10/2018
176684,4000,Trimmer Shever,4000,1,"293 Washington St, Los Angeles, CA 90001",20-Oct-19,20/10/2018
176685,12000,Smart Watches,12000,1,"114 10th St, New York City, NY 10001",21-Oct-19,21/10/2018
176686,12000,Smart Watches,12000,1,"892 10th St, Austin, TX 73301",22-Oct-19,22/10/2018
176687,150000,Laptops,150000,1,"121 Wilson St, Los Angeles, CA 90001",23-Oct-19,23/10/2018
176688,8000,Bluethoth Speakers,8000,1,"229 Church St, San Francisco, CA 94016",24-Oct-19,24/10/2018
176689,8000,Bluethoth Speakers,8000,1,"659 Lincoln St, New York City, NY 10001",25-Oct-19,25/10/2018
176689,12000,Smart Watches,24000,2,"659 Lincoln St, New York City, NY 10001",26-Oct-19,26/10/2018
176690,75000,Mobiles,75000,1,"873 Sunset St, San Francisco, CA 94016",27-Oct-19,27/10/2018
176691,12000,Smart Watches,12000,1,"991 Lincoln St, Los Angeles, CA 90001",28-Oct-19,28/10/2018
176692,12000,Smart Watches,12000,1,"290 Forest St, San Francisco, CA 94016",29-Oct-19,29/10/2018
176693,12000,Smart Watches,12000,1,"252 Walnut St, San Francisco, CA 94016",30-Oct-19,30/10/2018
176694,4000,Trimmer Shever,4000,1,"985 Washington St, Atlanta, GA 30301",31-Oct-19,31/10/2018
176695,12000,Smart Watches,24000,2,"709 Lake St, Seattle, WA 98101",01-Nov-19,01/11/2018
176696,150000,Laptops,150000,1,"343 Johnson St, New York City, NY 10001",02-Nov-19,02/11/2018
176697,12000,Smart Watches,12000,1,"675 Center St, New York City, NY 10001",03-Nov-19,03/11/2018
176698,8000,Bluethoth Speakers,8000,1,"232 Lakeview St, San Francisco, CA 94016",04-Nov-19,04/11/2018
176699,8000,Bluethoth Speakers,8000,1,"49 Jefferson St, Boston, MA 02215",05-Nov-19,05/11/2018
176700,12000,Smart Watches,12000,1,"967 Walnut St, Dallas, TX 75001",06-Nov-19,06/11/2018
176701,4000,Trimmer Shever,4000,1,"128 Church St, Austin, TX 73301",07-Nov-19,07/11/2018
176702,12000,Smart Watches,12000,1,"896 Sunset St, Seattle, WA 98101",08-Nov-19,08/11/2018
176703,75000,Mobiles,75000,1,"748 Washington St, New York City, NY 10001",09-Nov-19,09/11/2018
176704,12000,Smart Watches,24000,2,"909 Center St, Seattle, WA 98101",10-Nov-19,10/11/2018
176705,60000,Tablets,120000,2,"503 8th St, Austin, TX 73301",11-Nov-19,11/11/2018
176706,60000,Tablets,60000,1,"309 South St, New York City, NY 10001",12-Nov-19,12/11/2018
176707,6500,Wireless Earbuds,6500,1,"408 Center St, Portland, OR 97035",13-Nov-19,13/11/2018
176708,12000,Smart Watches,12000,1,"542 Ridge St, New York City, NY 10001",14-Nov-19,14/11/2018
176709,12000,Smart Watches,12000,1,"971 Church St, Dallas, TX 75001",15-Nov-19,15/11/2018
176710,75000,Mobiles,150000,2,"848 West St, Dallas, TX 75001",16-Nov-19,16/11/2018
176711,8000,Bluethoth Speakers,8000,1,"796 River St, Dallas, TX 75001",17-Nov-19,17/11/2018
176712,60000,Tablets,60000,1,"910 Washington St, San Francisco, CA 94016",18-Nov-19,18/11/2018
176713,12000,Smart Watches,12000,1,"498 Walnut St, San Francisco, CA 94016",19-Nov-19,19/11/2018
176714,4000,Trimmer Shever,4000,1,"303 Spruce St, Los Angeles, CA 90001",20-Nov-19,20/11/2018
176715,6500,Wireless Earbuds,6500,1,"258 Jefferson St, San Francisco, CA 94016",21-Nov-19,21/11/2018
176716,12000,Smart Watches,12000,1,"794 7th St, Los Angeles, CA 90001",22-Nov-19,22/11/2018
176717,6500,Wireless Earbuds,6500,1,"490 Lakeview St, Atlanta, GA 30301",23-Nov-19,23/11/2018
176718,60000,Tablets,60000,1,"672 Sunset St, Los Angeles, CA 90001",24-Nov-19,24/11/2018
176719,8000,Bluethoth Speakers,8000,1,"602 Hickory St, Boston, MA 02215",25-Nov-19,25/11/2018
176720,60000,Tablets,60000,1,"556 South St, Portland, OR 97035",26-Nov-19,26/11/2018
176721,12000,Smart Watches,12000,1,"469 7th St, San Francisco, CA 94016",27-Nov-19,27/11/2018
176722,6500,Wireless Earbuds,6500,1,"209 14th St, New York City, NY 10001",28-Nov-19,28/11/2018
176723,6500,Wireless Earbuds,6500,1,"613 12th St, Portland, OR 97035",29-Nov-19,29/11/2018
176724,60000,Tablets,60000,1,"34 12th St, San Francisco, CA 94016",30-Nov-19,30/11/2018
176725,12000,Smart Watches,24000,2,"630 14th St, San Francisco, CA 94016",01-Dec-19,01/12/2018
176726,4000,Trimmer Shever,4000,1,"979 8th St, Los Angeles, CA 90001",02-Dec-19,02/12/2018
176727,60000,Tablets,60000,1,"218 Hickory St, Los Angeles, CA 90001",03-Dec-19,03/12/2018
176728,60000,Tablets,60000,1,"516 Park St, Atlanta, GA 30301",04-Dec-19,04/12/2018
176729,4000,Trimmer Shever,4000,1,"637 9th St, Seattle, WA 98101",05-Dec-19,05/12/2018
176730,8000,Bluethoth Speakers,8000,1,"403 Ridge St, New York City, NY 10001",06-Dec-19,06/12/2018
176731,12000,Smart Watches,24000,2,"36 Lincoln St, San Francisco, CA 94016",07-Dec-19,07/12/2018
176732,150000,Laptops,150000,1,"504 Wilson St, Dallas, TX 75001",08-Dec-19,08/12/2018
176733,75000,Mobiles,75000,1,"575 Hickory St, San Francisco, CA 94016",09-Dec-19,09/12/2018
176734,6500,Wireless Earbuds,6500,1,"611 Jackson St, New York City, NY 10001",10-Dec-19,10/12/2018
176735,5000,Power bank,5000,1,"802 Ridge St, Austin, TX 73301",11-Dec-19,11/12/2018
176736,12000,Smart Watches,12000,1,"421 2nd St, Los Angeles, CA 90001",12-Dec-19,12/12/2018
176737,6500,Wireless Earbuds,6500,1,"109 Center St, Los Angeles, CA 90001",13-Dec-19,13/12/2018
176738,12000,Smart Watches,12000,1,"661 Center St, San Francisco, CA 94016",14-Dec-19,14/12/2018
176739,12000,Smart Watches,12000,1,"730 6th St, Austin, TX 73301",15-Dec-19,15/12/2018
176739,60000,Tablets,60000,1,"730 6th St, Austin, TX 73301",16-Dec-19,16/12/2018
176740,8000,Bluethoth Speakers,8000,1,"699 Washington St, Dallas, TX 75001",17-Dec-19,17/12/2018
176741,4000,Trimmer Shever,4000,1,"990 Ridge St, San Francisco, CA 94016",18-Dec-19,18/12/2018
176742,12000,Smart Watches,12000,1,"115 Forest St, Los Angeles, CA 90001",19-Dec-19,19/12/2018
176743,6500,Wireless Earbuds,6500,1,"570 11th St, Atlanta, GA 30301",20-Dec-19,20/12/2018
176744,60000,Tablets,60000,1,"937 Maple St, Los Angeles, CA 90001",21-Dec-19,21/12/2018
176745,12000,Smart Watches,12000,1,"461 Adams St, Los Angeles, CA 90001",22-Dec-19,22/12/2018
176746,6500,Wireless Earbuds,6500,1,"638 Park St, Seattle, WA 98101",23-Dec-19,23/12/2018
176747,150000,Laptops,150000,1,"645 7th St, San Francisco, CA 94016",24-Dec-19,24/12/2018
176748,8000,Bluethoth Speakers,8000,1,"339 13th St, Boston, MA 02215",25-Dec-19,25/12/2018
176749,2500,Wall Charger,2500,1,"322 Adams St, Seattle, WA 98101",26-Dec-19,26/12/2018
176750,12000,Smart Watches,12000,1,"255 Cedar St, Austin, TX 73301",27-Dec-19,27/12/2018
176751,12000,Smart Watches,12000,1,"258 4th St, San Francisco, CA 94016",28-Dec-19,28/12/2018
176752,12000,Smart Watches,12000,1,"665 Wilson St, San Francisco, CA 94016",29-Dec-19,29/12/2018
176753,4000,Trimmer Shever,4000,1,"496 Adams St, Atlanta, GA 30301",30-Dec-19,30/12/2018
176754,12000,Smart Watches,12000,1,"288 Forest St, Los Angeles, CA 90001",31-Dec-19,31/12/2018
176755,6500,Wireless Earbuds,6500,1,"825 Madison St, Seattle, WA 98101",01-Jan-20,01/01/2019
176756,5000,Power bank,5000,1,"348 Lake St, New York City, NY 10001",02-Jan-20,02/01/2019
176757,12000,Smart Watches,12000,1,"79 Hickory St, Portland, OR 97035",03-Jan-20,03/01/2019
176758,12000,Smart Watches,12000,1,"166 Highland St, San Francisco, CA 94016",04-Jan-20,04/01/2019
176759,60000,Tablets,60000,1,"864 Main St, Los Angeles, CA 90001",05-Jan-20,05/01/2019
176760,12000,Smart Watches,12000,1,"813 Highland St, San Francisco, CA 94016",06-Jan-20,06/01/2019
176761,6500,Wireless Earbuds,6500,1,"830 2nd St, San Francisco, CA 94016",07-Jan-20,07/01/2019
176762,12000,Smart Watches,12000,1,"977 1st St, Seattle, WA 98101",08-Jan-20,08/01/2019
176763,4000,Trimmer Shever,4000,1,"638 Johnson St, San Francisco, CA 94016",09-Jan-20,09/01/2019
176764,12000,Smart Watches,12000,1,"652 Center St, Atlanta, GA 30301",10-Jan-20,10/01/2019
176765,4000,Trimmer Shever,4000,1,"729 Ridge St, San Francisco, CA 94016",11-Jan-20,11/01/2019
176766,12000,Smart Watches,24000,2,"84 Johnson St, Boston, MA 02215",12-Jan-20,12/01/2019
176767,6500,Wireless Earbuds,6500,1,"205 4th St, Atlanta, GA 30301",13-Jan-20,13/01/2019
176768,12000,Smart Watches,12000,1,"643 Spruce St, Los Angeles, CA 90001",14-Jan-20,14/01/2019
176769,12000,Smart Watches,12000,1,"206 10th St, San Francisco, CA 94016",15-Jan-20,15/01/2019
176770,12000,Smart Watches,12000,1,"345 Church St, San Francisco, CA 94016",16-Jan-20,16/01/2019
176771,60000,Tablets,60000,1,"403 11th St, New York City, NY 10001",17-Jan-20,17/01/2019
176772,12000,Smart Watches,12000,1,"426 14th St, New York City, NY 10001",18-Jan-20,18/01/2019
176773,12000,Smart Watches,24000,2,"30 9th St, Portland, ME 04101",19-Jan-20,19/01/2019
176774,60000,Tablets,60000,1,"372 Church St, Los Angeles, CA 90001",20-Jan-20,20/01/2019
176774,4000,Trimmer Shever,4000,1,"372 Church St, Los Angeles, CA 90001",21-Jan-20,21/01/2019
176775,4000,Trimmer Shever,8000,2,"975 Forest St, San Francisco, CA 94016",22-Jan-20,22/01/2019
176776,8000,Bluethoth Speakers,8000,1,"613 Washington St, Seattle, WA 98101",23-Jan-20,23/01/2019
176777,6500,Wireless Earbuds,6500,1,"163 Jackson St, Portland, OR 97035",24-Jan-20,24/01/2019
176778,12000,Smart Watches,12000,1,"201 Madison St, San Francisco, CA 94016",25-Jan-20,25/01/2019
176779,5000,Power bank,5000,1,"351 Park St, Atlanta, GA 30301",26-Jan-20,26/01/2019
176780,60000,Tablets,60000,1,"52 Walnut St, New York City, NY 10001",27-Jan-20,27/01/2019
176781,150000,Laptops,150000,1,"976 Hickory St, Dallas, TX 75001",28-Jan-20,28/01/2019
176781,60000,Tablets,60000,1,"976 Hickory St, Dallas, TX 75001",29-Jan-20,29/01/2019
176782,6500,Wireless Earbuds,6500,1,"993 13th St, San Francisco, CA 94016",30-Jan-20,30/01/2019
176783,6500,Wireless Earbuds,6500,1,"926 North St, San Francisco, CA 94016",31-Jan-20,31/01/2019
176784,12000,Smart Watches,12000,1,"725 Madison St, Los Angeles, CA 90001",01-Feb-20,01/02/2019
176785,8000,Bluethoth Speakers,8000,1,"533 Ridge St, Los Angeles, CA 90001",02-Feb-20,02/02/2019
176786,75000,Mobiles,75000,1,"701 North St, San Francisco, CA 94016",03-Feb-20,03/02/2019
176787,60000,Tablets,60000,1,"180 Pine St, Los Angeles, CA 90001",04-Feb-20,04/02/2019
176788,8000,Bluethoth Speakers,8000,1,"200 North St, New York City, NY 10001",05-Feb-20,05/02/2019
176789,60000,Tablets,60000,1,"990 Meadow St, San Francisco, CA 94016",06-Feb-20,06/02/2019
176790,12000,Smart Watches,12000,1,"689 9th St, Austin, TX 73301",07-Feb-20,07/02/2019
176791,60000,Tablets,60000,1,"908 Jackson St, Los Angeles, CA 90001",08-Feb-20,08/02/2019
176792,6500,Wireless Earbuds,6500,1,"772 11th St, Atlanta, GA 30301",09-Feb-20,09/02/2019
176793,12000,Smart Watches,12000,1,"147 South St, San Francisco, CA 94016",10-Feb-20,10/02/2019
176794,60000,Tablets,60000,1,"425 Adams St, Dallas, TX 75001",11-Feb-20,11/02/2019
176795,12000,Smart Watches,12000,1,"360 Center St, San Francisco, CA 94016",12-Feb-20,12/02/2019
176796,8000,Bluethoth Speakers,8000,1,"5 2nd St, Los Angeles, CA 90001",13-Feb-20,13/02/2019
176797,60000,Tablets,60000,1,"923 Elm St, Los Angeles, CA 90001",14-Feb-20,14/02/2019
176797,8000,Bluethoth Speakers,8000,1,"923 Elm St, Los Angeles, CA 90001",15-Feb-20,15/02/2019
176797,12000,Smart Watches,12000,1,"923 Elm St, Los Angeles, CA 90001",16-Feb-20,16/02/2019
176798,150000,Laptops,150000,1,"445 Jefferson St, Atlanta, GA 30301",17-Feb-20,17/02/2019
176799,12000,Smart Watches,12000,1,"452 Spruce St, Portland, OR 97035",18-Feb-20,18/02/2019
176800,60000,Tablets,60000,1,"766 West St, Atlanta, GA 30301",19-Feb-20,19/02/2019
176801,12000,Smart Watches,12000,1,"125 North St, San Francisco, CA 94016",20-Feb-20,20/02/2019
176802,12000,Smart Watches,12000,1,"627 12th St, Boston, MA 02215",21-Feb-20,21/02/2019
176803,12000,Smart Watches,12000,1,"649 7th St, Austin, TX 73301",22-Feb-20,22/02/2019
176804,8000,Bluethoth Speakers,8000,1,"690 Walnut St, Seattle, WA 98101",23-Feb-20,23/02/2019
176805,60000,Tablets,60000,1,"91 Lincoln St, Portland, OR 97035",24-Feb-20,24/02/2019
176805,4000,Trimmer Shever,4000,1,"91 Lincoln St, Portland, OR 97035",25-Feb-20,25/02/2019
176806,150000,Laptops,150000,1,"197 Cherry St, Austin, TX 73301",26-Feb-20,26/02/2019
176807,4000,Trimmer Shever,4000,1,"758 Hill St, Seattle, WA 98101",27-Feb-20,27/02/2019
176808,60000,Tablets,60000,1,"933 Meadow St, San Francisco, CA 94016",28-Feb-20,28/02/2019
